gene	ancestry	total_ac	max_an	n_variants	burden_raw	burden_1e4	module
STAT4	amr	8	44724	133	1.7887487702352204e-4	1.7887487702352203	B: Autoimmunity
STAT4	asj	0	26136	133	0	0	B: Autoimmunity
STAT4	eas	10	39700	133	2.5188916876574307e-4	2.5188916876574305	B: Autoimmunity
STAT4	fin	0	53420	133	0	0	B: Autoimmunity
STAT4	nfe	170	1112006	133	1.5287687296651278e-4	1.5287687296651278	B: Autoimmunity
STAT4	sas	38	86258	133	4.4053884857056736e-4	4.405388485705673	B: Autoimmunity
TLR1	afr	10	33480	54	2.986857825567503e-4	2.986857825567503	A: Innate immunity
TLR1	amr	24	44724	54	5.366246310705661e-4	5.3662463107056615	A: Innate immunity
TLR1	asj	0	26136	54	0	0	A: Innate immunity
TLR1	eas	80	39700	54	0.0020151133501259445	20.151133501259444	A: Innate immunity
TLR1	fin	212	53420	54	0.00396855110445526	39.685511044552605	A: Innate immunity
TLR1	nfe	1226	1112012	54	0.0011025060880637978	11.025060880637978	A: Innate immunity
TLR1	sas	94	86258	54	0.0010897539938324562	10.897539938324561	A: Innate immunity
TLR6	afr	82	33480	33	0.0024492234169653524	24.492234169653525	A: Innate immunity
TLR6	amr	28	44724	33	6.260620695823271e-4	6.260620695823271	A: Innate immunity
TLR6	asj	0	26136	33	0	0	A: Innate immunity
TLR6	eas	4	39700	33	1.0075566750629723e-4	1.0075566750629723	A: Innate immunity
TLR6	fin	0	53420	33	0	0	A: Innate immunity
TLR6	nfe	174	1112012	33	1.5647313158491095e-4	1.5647313158491096	A: Innate immunity
TLR6	sas	14	86258	33	1.623037863154722e-4	1.623037863154722	A: Innate immunity
TNFAIP3	afr	4	33480	43	1.1947431302270011e-4	1.194743130227001	B: Autoimmunity
TNFAIP3	amr	6	44724	43	1.3415615776764153e-4	1.3415615776764154	B: Autoimmunity
TNFAIP3	asj	2	26136	43	7.652280379553107e-5	0.7652280379553107	B: Autoimmunity
TNFAIP3	eas	0	39700	43	0	0	B: Autoimmunity
TNFAIP3	fin	6	53420	43	1.1231748408835643e-4	1.1231748408835642	B: Autoimmunity
TNFAIP3	nfe	34	1112012	43	3.0575209620040074e-5	0.3057520962004007	B: Autoimmunity
TNFAIP3	sas	6	86258	43	6.955876556377379e-5	0.695587655637738	B: Autoimmunity
VDR	afr	4	33480	68	1.1947431302270011e-4	1.194743130227001	C: Skeletal
VDR	amr	6	44724	68	1.3415615776764153e-4	1.3415615776764154	C: Skeletal
VDR	asj	0	26136	68	0	0	C: Skeletal
VDR	eas	8	39700	68	2.0151133501259446e-4	2.0151133501259446	C: Skeletal
VDR	fin	6	53420	68	1.1231748408835643e-4	1.1231748408835642	C: Skeletal
VDR	nfe	178	1112012	68	1.6007021506962154e-4	1.6007021506962154	C: Skeletal
VDR	sas	26	86258	68	3.014213174430198e-4	3.014213174430198	C: Skeletal
