gene	pLI	LOEUF	oe_mis	oe_mis_upper	oe_syn
RUNX2	0.9999974522825972	0.3280271273159007	0.8129616901832966	0.8716752515625867	1.0086670870197003
COL1A1	1.0	0.1545570696414298	0.6655261801676042	0.695928804506736	1.0022502233508808
SP7	0.0649218245850299	0.7397066496701347	0.940812636855146	1.011210706804982	0.9658793987523444
LRP5	0.5471267510639309	0.4969782380017017	0.8195328800620322	0.8510144009987729	0.9550471349215822
VDR	0.0156552410003103	0.7017101914299548	0.7748245938228503	0.8382467705225788	1.1216288509786565
IKBKB	0.9888641209394642	0.47834254991785924	0.71619301149102	0.763297648979742	0.8191623107975731
IFIH1	6.038176758248394e-49	1.3498019015836078	1.098283897797574	1.149070007974336	1.108360545107752
TLR1	6.208200225260321e-07	1.3780646529958953	1.0120962579681274	1.0686979336136686	0.9566452966773378
TLR6	0.023268035478603975	0.9780793244504487	0.8533717846966239	0.9051662582797809	1.0040214457646481
TLR10			0.9958487967293544	1.0512940363515273	0.8499853227493889
ACKR1	0.03289852235005067	3.060489779499154	1.108293720490787	1.1994435203518115	1.1674765971168803
CD36	8.051241117762625e-63	2.50900785976187	1.4743707627998734	1.5619744265602267	0.9605869399420449
STAT4	0.9499211814531091	0.49173671453107015	0.7117849650723784	0.7601506952610249	0.9396569196863661
IRF5	0.06798181571377204	0.6128666457421874	0.75783959723222	0.8160667741833105	0.991698958212656
TNFAIP3	0.999999999975399	0.21694317138526967	0.8177038788764742	0.8658664482310158	0.909768010967545
